timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_rad_s,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
27267209,4850,6,0.0788261,0.227097,0.128626,0.000546055,0.00115952,0.000564261,25.2356,34.9066,0.00106422,0.228048,0.0992774,0.0183967,0.000304959,0.10247,0.208219,0.175228,0.214605,0.305063,0.391265,0.10658,0.108709,0.119351,0.131057,0.132121,536898680,364,-43,115,77,5
27272759,5550,6,0.126879,0.26721,0.117456,0.00105403,0.00158067,0.000583263,25.2509,34.9066,0.00106422,0.23869,0.287644,0.255718,0.151424,0.0971489,0.374237,0.306127,0.205027,0.187999,0.253981,0.119351,0.0938096,0.0852958,0.0884885,0.11403,536871776,235,-38,98,82,5
27277559,4800,6,0.166848,0.295557,0.111436,0.00111372,0.00160604,0.000516936,25.257,34.9066,0.00106422,0.0982132,0.185479,0.296158,0.317442,0.27913,0.362531,0.421063,0.372109,0.291228,0.203962,0.135314,0.136378,0.112966,0.0767821,0.0661399,536898680,188,-209,53,84,5
27282359,4800,6,0.20629,0.301753,0.103882,0.000989051,0.001466,0.000520563,25.2417,34.9066,0.00106422,0.199314,0.164195,0.172709,0.234433,0.315314,0.216733,0.282715,0.358274,0.38488,0.334861,0.0757179,0.11403,0.133186,0.125736,0.0906169,536871776,311,-243,76,79,5
27287209,4850,6,0.245417,0.303147,0.0941193,0.00139433,0.00134949,0.000361006,25.254,34.9066,0.00106422,0.330213,0.318507,0.252525,0.231241,0.228048,0.276329,0.228439,0.260366,0.30932,0.344439,0.0533692,0.0480481,0.0703968,0.111901,0.127865,536898680,320,-161,111,83,5
27292759,5550,6,0.273624,0.302978,0.0874233,0.00167904,0.00167589,0.000411825,25.2662,34.9066,0.00106422,0.268488,0.337663,0.351497,0.341919,0.281259,0.341247,0.297614,0.272072,0.262494,0.296549,0.111901,0.071461,0.0331491,0.037406,0.0661399,536898680,275,-211,53,87,5
27297559,4800,6,0.285818,0.293227,0.0815863,0.00129926,0.00130607,0.000395871,25.2632,34.9066,0.00106422,0.253589,0.222727,0.249332,0.311057,0.332341,0.298678,0.280586,0.26143,0.253981,0.263559,0.109773,0.121479,0.0970022,0.0512408,0.0171858,536898680,244,-259,7,86,5
27302359,4800,6,0.290591,0.270164,0.0729854,0.00131603,0.00106878,0.000376211,25.2754,34.9066,0.00106422,0.333406,0.289773,0.254653,0.214213,0.229112,0.266751,0.252916,0.207155,0.163522,0.167779,0.0342133,0.0682683,0.111901,0.11403,0.0863601,536898680,154,-162,72,90,5
27307250,4891,6,0.28193,0.235065,0.0684945,0.00138451,0.00101417,0.000270403,25.2785,34.9066,0.00106422,0.280195,0.302543,0.316378,0.278066,0.236562,0.207155,0.249724,0.251852,0.183742,0.0943478,0.0405986,0.0225069,0.0469839,0.0831674,0.117222,536898680,85,-169,101,91,5
27312759,5509,6,0.26095,0.179112,0.0708057,0.00122462,0.0007279,0.000398363,25.2846,34.9066,0.00106422,0.201442,0.200378,0.222727,0.236562,0.239754,0.0219808,0.0645496,0.148623,0.238017,0.222054,0.10658,0.0767821,0.0405986,0.0363417,0.0608188,536887672,205,-172,48,93,5
