timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid
217895455,-0.499412,-1.0561,-9.75463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.817339,-0.0266733,-0.0091894,-0.575466,-0.124414,-0.223868,0.10096,0.0,0
217919455,-0.586958,-1.07177,-9.77837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.816685,-0.0267564,-0.00696808,-0.576421,-0.020373,-0.0901857,0.102341,0.0,0
217939455,-0.333881,-0.152052,-9.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.816018,-0.0275668,-0.00775214,-0.577317,0.114956,0.00596566,0.108082,0.0,0
217959458,-0.497564,-0.601632,-9.59202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.815344,-0.028692,-0.00915812,-0.578193,0.116361,0.0699365,0.102091,0.0,0
217979455,-0.54216,-1.64224,-9.65803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.814772,-0.0292479,-0.00994638,-0.578958,-0.0418676,0.0809071,0.0978026,0.0,0
218003455,-0.475503,-1.41037,-9.65059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.814008,-0.0282397,-0.00951959,-0.580088,-0.18536,0.0352095,0.123186,0.0,0
218023455,-0.635559,-0.447219,-9.37078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.813247,-0.0271997,-0.00839797,-0.581223,-0.131844,-0.0590991,0.141023,0.0,0
218043456,-0.601974,-0.714307,-9.69443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.812415,-0.0272298,-0.00750233,-0.582396,-0.00592392,-0.103604,0.14172,0.0,0
218063455,-0.509652,-0.463378,-9.59259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.811606,-0.0279943,-0.00685695,-0.583494,0.0445076,-0.117709,0.133004,0.0,0
218087455,-0.341551,-0.717203,-9.31129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.810677,-0.0290627,-0.00595704,-0.584742,0.017254,-0.135626,0.124205,0.0,0
218107455,-0.378169,-1.07919,-9.50797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.810023,-0.0296681,-0.00499365,-0.585626,-0.0361229,-0.130738,0.105019,0.0,0
218127455,-0.43035,-0.757395,-9.83457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.809507,-0.0298228,-0.00461589,-0.586334,-0.0551261,-0.0802525,0.0823962,0.0,0
218147455,-0.367596,-0.700149,-9.44404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.809064,-0.029458,-0.00446926,-0.586965,-0.0402836,-0.00469305,0.077165,0.0,0
218171455,-0.650385,-1.1222,-9.47359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.808525,-0.028683,-0.0048586,-0.587742,-0.0307546,0.0432706,0.0706081,0.0,0
218191455,-0.379753,-0.632992,-9.16825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.808165,-0.0279014,-0.00518506,-0.588272,-0.0301452,0.0320733,0.060713,0.0,0
218211455,-0.57128,-0.87034,-9.19445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.807808,-0.0272712,-0.00518739,-0.588792,-0.0489051,-0.000595905,0.0607877,0.0,0
218231455,-0.566603,-1.32824,-9.21121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.807462,-0.0266893,-0.00488734,-0.589296,-0.0881239,-0.0212671,0.0628814,0.0,0
218255465,-0.627205,-0.887049,-9.54189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.80703,-0.0259383,-0.00411576,-0.589926,-0.0936616,-0.0538306,0.066095,0.0,0
218275455,-0.354094,-0.615492,-9.55633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.806658,-0.0253772,-0.00325226,-0.590465,-0.081464,-0.0623947,0.0638421,0.0,0
218295461,-0.484964,-1.68723,-9.41511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.806317,-0.0248499,-0.00249811,-0.590957,-0.104682,-0.043567,0.0584261,0.0,0
218315455,-0.478737,-0.902516,-9.28778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.80604,-0.0239368,-0.00173285,-0.591374,-0.120241,-0.0155216,0.051368,0.0,0
218339455,-0.426172,-1.0299,-9.64158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.805713,-0.0225889,-0.00120818,-0.591874,-0.130707,0.0069638,0.051708,0.0,0
218359455,-0.496383,-0.934546,-9.62811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.805439,-0.0216321,-0.00109146,-0.592283,-0.0925297,0.0079311,0.0485294,0.0,0
218379455,-0.266387,-0.616781,-9.69279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.805151,-0.0209373,-0.00104296,-0.592699,-0.0603329,0.0041844,0.0480443,0.0,0
218399455,-0.611207,-1.11153,-9.6899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.804872,-0.020537,-0.000897009,-0.593093,-0.0446526,-0.0206178,0.0505691,0.0,0
218423455,-0.49683,-1.02048,-9.48477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.804512,-0.0202427,-0.000631452,-0.593591,-0.0545796,-0.0248359,0.0545814,0.0,0
218443455,-0.532412,-0.636025,-9.56046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.804152,-0.0197912,-0.000364349,-0.594094,-0.0568435,-0.0129256,0.061981,0.0,0
